datetime,open,high,low,close,volume,percent_b,atr,macd,macd_signal,macd_hist,adx,sma,ema,rsi,%K,%D,vpt,day,hour,open change,high change,low change,close change,price movement,price range,price trend,open trend,high trend,low trend,close trend,volume trend
2023-12-21 11:10:00,152.67,152.75,152.64,152.64,62529,0.11186028595167488,0.1303,-0.0394,-0.0291,-0.0104,16.0517,152.8456,152.7874,35.9866,4.4444,16.2963,-26.9741,3,11,-0.0005,-0.0001,0.0001,-0.0003,-0.03,0.11,0,0,0,1,0,0
2023-12-21 11:11:00,152.64,152.73,152.58,152.69,39418,0.25626348003450583,0.1317,-0.0453,-0.0323,-0.013,16.8531,152.8333,152.7679,40.1322,22.449,14.1497,-14.062,3,11,-0.0002,-0.0001,-0.0004,0.0003,0.05,0.15,1,0,0,0,1,0
2023-12-21 11:12:00,152.68,152.74,152.6,152.67,50527,0.23137421851102322,0.1323,-0.051,-0.0361,-0.015,17.4867,152.8078,152.7483,39.043,18.3673,15.0869,-20.6803,3,11,0.0003,0.0001,0.0001,-0.0001,-0.01,0.14,0,1,1,1,0,1
2023-12-21 11:13:00,152.69,152.71,152.61,152.71,46636,0.3351933467431509,0.13,-0.0517,-0.0392,-0.0125,18.0751,152.7789,152.7407,42.4095,26.5306,22.449,-8.4615,3,11,0.0001,-0.0002,0.0001,0.0003,0.02,0.1,1,1,0,1,1,0
2023-12-21 11:14:00,152.71,152.83,152.66,152.81,73358,0.5583353839873576,0.1328,-0.0437,-0.0401,-0.0036,17.3228,152.7589,152.7545,49.8641,46.9388,30.6122,39.5759,3,11,0.0001,0.0008,0.0003,0.0007,0.1,0.17,1,1,1,1,1,1
2023-12-21 11:15:00,152.82,152.92,152.77,152.9,46975,0.7556333931737814,0.1341,-0.0297,-0.038,0.0083,16.3501,152.7467,152.7836,55.453,65.3061,46.2585,67.2426,3,11,0.0007,0.0006,0.0007,0.0006,0.08,0.15,1,1,1,1,1,0
2023-12-21 11:16:00,152.89,152.89,152.77,152.82,38559,0.5697460272246104,0.1338,-0.0248,-0.0354,0.0105,15.4468,152.7422,152.7909,50.1062,48.9796,53.7415,47.0679,3,11,0.0005,-0.0002,0.0,-0.0005,-0.07,0.12,0,1,0,0,0,0
2023-12-21 11:17:00,152.83,152.84,152.7,152.71,39969,0.3254620645682982,0.1342,-0.0295,-0.0342,0.0047,14.7175,152.7378,152.7747,43.8459,26.5306,46.9388,18.2982,3,11,-0.0004,-0.0003,-0.0005,-0.0007,-0.12,0.14,0,0,0,0,0,1
2023-12-21 11:18:00,152.7,152.7,152.59,152.64,53935,0.18213805721121032,0.1332,-0.0384,-0.0351,-0.0033,14.902,152.7322,152.7478,40.3878,12.2449,29.2517,-6.4248,3,11,-0.0009,-0.0009,-0.0007,-0.0005,-0.06,0.11,0,0,0,0,0,1
2023-12-21 11:19:00,152.65,152.74,152.61,152.73,44266,0.372926622219853,0.133,-0.0378,-0.0356,-0.0022,14.6754,152.7422,152.7442,46.2568,30.6122,23.1293,19.6754,3,11,-0.0003,0.0003,0.0001,0.0006,0.08,0.13,1,0,1,1,1,0
2023-12-21 11:20:00,152.74,152.78,152.72,152.73,51865,0.372926622219853,0.1278,-0.0368,-0.0358,-0.001,14.0767,152.7467,152.7414,46.2568,34.8837,25.9136,19.6754,3,11,0.0006,0.0003,0.0007,0.0,-0.01,0.06,0,1,1,1,0,1
2023-12-21 11:21:00,152.73,152.89,152.73,152.84,80973,0.6041734239975497,0.1301,-0.0269,-0.034,0.0072,13.5779,152.7656,152.7611,52.8384,76.4706,47.3222,77.9942,3,11,-0.0001,0.0007,0.0001,0.0007,0.11,0.16,1,0,1,1,1,1
2023-12-21 11:22:00,152.83,152.83,152.71,152.79,35979,0.4944460983166968,0.1301,-0.0228,-0.0318,0.009,12.9306,152.7744,152.7669,49.85,61.7647,57.7063,66.224,3,11,0.0007,-0.0004,-0.0001,-0.0003,-0.04,0.12,0,1,0,0,0,0
2023-12-21 11:23:00,152.79,152.82,152.73,152.74,26046,0.3993470105928762,0.1272,-0.0233,-0.0301,0.0068,12.3296,152.7667,152.7615,46.9881,47.0588,61.7647,57.7006,3,11,-0.0003,-0.0001,0.0001,-0.0003,-0.05,0.09,0,0,0,1,0,0
2023-12-21 11:24:00,152.75,152.75,152.67,152.67,25158,0.26210545051647693,0.1238,-0.029,-0.0299,0.0009,11.7032,152.7411,152.7432,43.2449,26.4706,45.098,46.1708,3,11,-0.0003,-0.0005,-0.0004,-0.0005,-0.08,0.08,0,0,0,0,0,0
2023-12-21 11:25:00,152.66,152.67,152.55,152.59,76025,0.09542699139037303,0.1235,-0.0396,-0.0318,-0.0077,12.1043,152.7156,152.7126,39.3835,10.8108,28.1134,6.3332,3,11,-0.0006,-0.0005,-0.0008,-0.0005,-0.07,0.12,0,0,0,0,0,1
2023-12-21 11:26:00,152.6,152.74,152.6,152.73,67924,0.4823881108592948,0.1254,-0.0362,-0.0327,-0.0035,11.7875,152.7178,152.7161,48.1148,48.6486,28.6433,68.6529,3,11,-0.0004,0.0005,0.0003,0.0009,0.13,0.14,1,0,1,1,1,0
2023-12-21 11:27:00,152.74,152.82,152.72,152.77,58941,0.6325350376124526,0.1236,-0.03,-0.0321,0.0022,11.1048,152.7322,152.7268,50.3167,59.4595,39.6396,84.0896,3,11,0.0009,0.0005,0.0008,0.0003,0.03,0.1,1,1,1,1,1,0
