datetime,open,high,low,close,volume,previous open,open-change,open-trend,previous high,high-change,high-trend,previous low,low-change,low-trend,previous close,close-change,close-trend,previous volume,volume-change,volume-trend,percent_b,macd,macd_signal,macd_hist,adx,ema,rsi
2023-09-22 12:10:00,418.84,419.74,418.62,419.33,325901,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.53,0.82,1.09,-0.27,36.03,419.07,56.43
2023-09-22 12:15:00,419.33,419.87,419.18,419.48,301044,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.58,0.79,1.03,-0.24,36.70,419.15,57.15
2023-09-22 12:20:00,419.52,419.90,418.96,419.27,345993,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.48,0.75,0.98,-0.23,37.00,419.18,55.78
2023-09-22 12:25:00,419.21,419.40,418.63,418.92,229801,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.34,0.68,0.92,-0.24,36.81,419.12,53.50
2023-09-22 12:30:00,418.97,419.33,418.43,418.81,217980,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.27,0.61,0.85,-0.25,36.35,419.06,52.82
2023-09-22 12:35:00,418.77,419.02,418.50,418.97,253409,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.36,0.56,0.79,-0.24,35.92,419.04,53.79
2023-09-22 12:40:00,418.92,419.73,418.86,419.45,329564,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.57,0.55,0.75,-0.20,36.06,419.12,56.68
2023-09-22 12:45:00,419.48,419.51,418.29,418.36,271491,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.12,0.45,0.69,-0.24,35.34,418.97,49.17
2023-09-22 12:50:00,418.40,419.25,418.40,419.11,225372,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.44,0.43,0.63,-0.21,34.68,419.00,53.71
2023-09-22 12:55:00,419.17,419.64,418.82,418.96,302017,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.0,0.0,1,0.39,0.39,0.58,-0.19,34.40,418.99,52.69
2023-09-22 13:00:00,418.96,418.96,418.34,418.64,268730,418.84,0.12,1,419.74,-0.78,0,418.62,-0.28,0,419.33,-0.69,0,325901.0,-57171.0,0,0.27,0.33,0.53,-0.20,33.41,418.92,50.50
